Time	Treatment	Replicate	Core	Depth	Blue	Red	Arcsine(Blue)	Arcsine(Red)	
t1	T1-	B	6	6	0.060899619	0.053282478	0.000608996	0.000532825	
t1	T1-	B	6	8	0.054566059	0.02777272	0.000545661	0.000277727	
t1	T1-	B	6	10	0.013738954	0.007611783	0.00013739	7.61178E-05	
t1	T1-	B	6	12	0.014615909	0.006480301	0.000146159	6.4803E-05	
t1	T1-	B	6	14	0.003312939	0.004525925	3.31294E-05	4.52592E-05	
t1	T1-	B	6	16	0.006041242	0.001234343	6.04124E-05	1.23434E-05	
t1	T1-	B	6	18	0.007892591	0.004525925	7.89259E-05	4.52592E-05	
t1	T1-	B	6	20	0.002435985	0.003600167	2.43598E-05	3.60017E-05	
t1	T1-	B	6	22	0.003995015	0.004011615	3.99502E-05	4.01162E-05	
t1	T1-	B	6	24	0	0.000205724	0	2.05724E-06	
t1	T1-	B	6	26	0.008866985	0.003703029	8.86698E-05	3.70303E-05	
t1	T1-	B	6	28	0.000779515	0.001131481	7.79515E-06	1.13148E-05	
t1	T1-	B	6	30	0.000584636	0.000822895	5.84636E-06	8.22895E-06	
t1	T1-	C	7	4	99.69975016	99.64488362	1.49328501	1.486496058	
t1	T1-	C	7	6	0.141638492	0.163460422	0.001416385	0.001634605	
t1	T1-	C	7	8	0.0201977	0.023772711	0.000201977	0.000237727	
t1	T1-	C	7	10	0.019943107	0.023956995	0.000199431	0.00023957	
t1	T1-	C	7	12	0.017482043	0.029669817	0.00017482	0.000296698	
t1	T1-	C	7	14	0.041328907	0.034645501	0.000413289	0.000346455	
t1	T1-	C	7	16	0.021046343	0.018612743	0.000210463	0.000186127	
t1	T1-	C	7	18	0.002715657	0.005159968	2.71566E-05	5.15997E-05	
t1	T1-	C	7	20	0.001697286	0.003685692	1.69729E-05	3.68569E-05	
t1	T1-	C	7	22	0.003309707	0.007187099	3.30971E-05	7.1871E-05	
t1	T1-	C	7	24	0.0035643	0.003685692	3.5643E-05	3.68569E-05	
t1	T1-	C	7	26	0.0059405	0.009398514	5.9405E-05	9.39851E-05	
t1	T1-	C	7	28	0.001103236	0.002764269	1.10324E-05	2.76427E-05	
t1	T1-	C	7	30	0.002036743	0.005897107	2.03674E-05	5.89711E-05	
t1	T1-	D	8	4	99.43071361	99.64429311	1.464041715	1.486425957	
t1	T1-	D	8	6	0.060159199	0.032280914	0.000601592	0.000322809	
t1	T1-	D	8	8	0.060273353	0.032280914	0.000602734	0.000322809	
t1	T1-	D	8	10	0.151939078	0.126964741	0.001519391	0.001269648	
t1	T1-	D	8	12	0.085729713	0.047907343	0.000857297	0.000479073	
t1	T1-	D	8	14	0.022602508	0.007607604	0.000226025	7.6076E-05	
t1	T1-	D	8	16	0.013812643	0.009252491	0.000138126	9.25249E-05	
t1	T1-	D	8	18	0.006392628	0.004934662	6.39263E-05	4.93466E-05	
t1	T1-	D	8	20	0.008904018	0.004934662	8.90402E-05	4.93466E-05	
t1	T1-	D	8	22	0.074085997	0.056543002	0.00074086	0.00056543	
t1	T1-	D	8	24	0.024543127	0.007504798	0.000245431	7.5048E-05	
t1	T1-	D	8	26	0.008904018	0.003289775	8.90402E-05	3.28977E-05	
t1	T1-	D	8	28	0.007305861	0.003700996	7.30586E-05	3.701E-05	
t1	T1-	D	8	30	0.00616432	0.004831857	6.16432E-05	4.83186E-05	
t1	T1+	A	9	4	99.14406027	99.52092043	1.43986401	1.472871602	
t1	T1+	A	9	6	0.408421866	0.236208095	0.00408423	0.002362083	
t1	T1+	A	9	8	0.136449681	0.061935215	0.001364497	0.000619352	
t1	T1+	A	9	10	0.027197218	0.017256432	0.000271972	0.000172564	
t1	T1+	A	9	12	0.105543751	0.049975311	0.001055438	0.000499753	
t1	T1+	A	9	14	0.03330114	0.016914721	0.000333011	0.000169147	
t1	T1+	A	9	16	0.019934325	0.009311639	0.000199343	9.31164E-05	
t1	T1+	A	9	18	0.005872127	0.005723668	5.87213E-05	5.72367E-05	
t1	T1+	A	9	20	0.023024918	0.012216187	0.000230249	0.000122162	
t1	T1+	A	9	22	0.005640332	0.004613106	5.64033E-05	4.61311E-05	
t1	T1+	A	9	24	0.007031099	0.006236235	7.0311E-05	6.23624E-05	
t1	T1+	A	9	26	0.01328955	0.009140783	0.000132895	9.14078E-05	
t1	T1+	A	9	28	0.008730925	0.004613106	8.73093E-05	4.61311E-05	
t1	T1+	A	9	30	0.01089434	0.007944793	0.000108943	7.94479E-05	
t1	T1+	B	10	4	99.60857119	99.76774194	1.482288199	1.502627708	
t1	T1+	B	10	6	0.284800955	0.166560962	0.002848013	0.00166561	
t1	T1+	B	10	8	0.033775171	0.021519956	0.000337752	0.0002152	
t1	T1+	B	10	10	0.022589415	0.008485511	0.000225894	8.48551E-05	
t1	T1+	B	10	12	0.01445432	0.005773647	0.000144543	5.77365E-05	
t1	T1+	B	10	14	0.006827669	0.002449426	6.82767E-05	2.44943E-05	
t1	T1+	B	10	16	0.002614852	0.003761618	2.61485E-05	3.76162E-05	
t1	T1+	B	10	18	0.002469582	0.002274467	2.46958E-05	2.27447E-05	
t1	T1+	B	10	20	0.002033774	0.002536905	2.03377E-05	2.53691E-05	
t1	T1+	B	10	22	0.002396948	0.002799344	2.39695E-05	2.79934E-05	
t1	T1+	B	10	24	0.005157069	0.00166211	5.15707E-05	1.66211E-05	
t1	T1+	B	10	26	0.002106408	0.001837069	2.10641E-05	1.83707E-05	
t1	T1+	B	10	28	0.001234791	0.000349918	1.23479E-05	3.49918E-06	
t1	T1+	B	10	30	0.002106408	0.003061782	2.10641E-05	3.06178E-05	
t1	T1+	C	11	4	99.83871834	99.87801338	1.513994033	1.521397656	
t1	T1+	C	11	6	0.02984248	0.025760304	0.000298425	0.000257603	
t1	T1+	C	11	8	0.009837272	0.015265365	9.83727E-05	0.000152654	
t1	T1+	C	11	10	0.00429864	0.003407448	4.29864E-05	3.40745E-05	
t1	T1+	C	11	12	0.019922542	0.017855025	0.000199225	0.00017855	
t1	T1+	C	11	14	0.015293237	0.004497831	0.000152932	4.49783E-05	
t1	T1+	C	11	16	0.02769316	0.015401663	0.000276932	0.000154017	
t1	T1+	C	11	18	0.008845278	0.00845047	8.84528E-05	8.45047E-05	
t1	T1+	C	11	20	0.021658531	0.012266811	0.000216585	0.000122668	
t1	T1+	C	11	22	0.009754606	0.003543745	9.75461E-05	3.54375E-05	
t1	T1+	C	11	24	0.001322658	0.002044469	1.32266E-05	2.04447E-05	
t1	T1+	C	11	26	0.001322658	0.001635575	1.32266E-05	1.63557E-05	
t1	T1+	C	11	28	0.002066654	0.003134852	2.06665E-05	3.13485E-05	
t1	T1+	C	11	30	0.00429864	0.002317064	4.29864E-05	2.31706E-05	
t1	T1+	D	12	4	98.63556342	99.47010461	1.405414905	1.467804673	
t1	T1+	D	12	6	0.960282301	0.364870826	0.009602971	0.003648716	
t1	T1+	D	12	8	0.10578469	0.040808827	0.001057847	0.000408088	
t1	T1+	D	12	10	0.052060551	0.024911965	0.000520606	0.00024912	
t1	T1+	D	12	12	0.015363734	0.005849495	0.000153637	5.84949E-05	
t1	T1+	D	12	14	0.026519566	0.013557064	0.000265196	0.000135571	
t1	T1+	D	12	16	0.011057974	0.003440879	0.00011058	3.44088E-05	
t1	T1+	D	12	18	0.016244458	0.009565644	0.000162445	9.56564E-05	
t1	T1+	D	12	20	0.022115948	0.010460273	0.000221159	0.000104603	
t1	T1+	D	12	22	0.012232272	0.006055947	0.000122323	6.05595E-05	
t1	T1+	D	12	24	0.027791723	0.013144158	0.000277917	0.000131442	
t1	T1+	D	12	26	0.028672446	0.007845204	0.000286724	7.8452E-05	
t1	T1+	D	12	28	0.014580869	0.004060237	0.000145809	4.06024E-05	
t1	T1+	D	12	30	0.018984487	0.006675306	0.000189845	6.67531E-05	
t1	T2-	A	13	4	99.6606109	99.62268468	1.488385011	1.48389951	
t1	T2-	A	13	6	0.087238803	0.091303707	0.000872388	0.000913037	
t1	T2-	A	13	8	0.080064218	0.082283341	0.000800642	0.000822833	
t1	T2-	A	13	10	0.057500665	0.057202322	0.000575007	0.000572023	
t1	T2-	A	13	12	0.028490384	0.042681733	0.000284904	0.000426817	
t1	T2-	A	13	14	0.013725294	0.024420991	0.000137253	0.00024421	
t1	T2-	A	13	16	0.009566114	0.009020366	9.56611E-05	9.02037E-05	
t1	T2-	A	13	18	0.014037233	0.017600715	0.000140372	0.000176007	
t1	T2-	A	13	20	0.006134791	0.007700313	6.13479E-05	7.70031E-05	
t1	T2-	A	13	22	0.005510914	0.00418017	5.51091E-05	4.18017E-05	
t1	T2-	A	13	24	0.002599488	0.004620188	2.59949E-05	4.62019E-05	
t1	T2-	A	13	26	0.006862647	0.004400179	6.86265E-05	4.40018E-05	
t1	T2-	A	13	28	0.002287549	0.005060205	2.28755E-05	5.06021E-05	
t1	T2-	A	13	30	0.007174586	0.006380259	7.17459E-05	6.38026E-05	
t1	T2-	B	14	4	99.85522679	99.75749742	1.516980314	1.501139934	
t1	T2-	B	14	6	0.030654061	0.037544815	0.000306541	0.000375448	
t1	T2-	B	14	8	0.01419767	0.026158273	0.000141977	0.000261583	
t1	T2-	B	14	10	0.012799415	0.016925941	0.000127994	0.000169259	
t1	T2-	B	14	12	0.009034881	0.009232332	9.03488E-05	9.23233E-05	
t1	T2-	B	14	14	0.017747088	0.036313838	0.000177471	0.000363138	
t1	T2-	B	14	16	0.00623837	0.013233009	6.23837E-05	0.00013233	
t1	T2-	B	14	18	0.013229647	0.010771054	0.000132296	0.000107711	
t1	T2-	B	14	20	0.003334301	0.004616166	3.3343E-05	4.61617E-05	
t1	T2-	B	14	22	0.003549418	0.008001354	3.54942E-05	8.00135E-05	
t1	T2-	B	14	24	0.003656976	0.00769361	3.65698E-05	7.69361E-05	
t1	T2-	B	14	26	0.007313951	0.016310453	7.31395E-05	0.000163105	
t1	T2-	B	14	28	0.004517441	0.010463309	4.51744E-05	0.000104633	
t1	T2-	B	14	30	0.003549418	0.006770377	3.54942E-05	6.77038E-05	
t1	T2-	C	15	4	99.89870957	99.89779469	1.525783542	1.525580682	
t1	T2-	C	15	6	0.052997162	0.046836537	0.000529972	0.000468365	
t1	T2-	C	15	8	0.023754645	0.013252198	0.000237546	0.000132522	
t1	T2-	C	15	10	0.006820641	0.005446109	6.82064E-05	5.44611E-05	
t1	T2-	C	15	12	0.000627185	0.000907685	6.27185E-06	9.07685E-06	
t1	T2-	C	15	14	0.001097574	0.000363074	1.09757E-05	3.63074E-06	
t1	T2-	C	15	16	0.001881556	0.005083035	1.88156E-05	5.08304E-05	
t1	T2-	C	15	18	0.000627185	0.010347607	6.27185E-06	0.000103476	
t1	T2-	C	15	20	0.000391991	0.000544611	3.91991E-06	5.44611E-06	
t1	T2-	C	15	22	0.001567963	0.002178444	1.56796E-05	2.17844E-05	
t1	T2-	C	15	24	0.001803158	0.000907685	1.80316E-05	9.07685E-06	
t1	T2-	C	15	26	0.001097574	0.002904591	1.09757E-05	2.90459E-05	
t1	T2-	C	15	28	0	0	0	0	
t1	T2-	C	15	30	0.000313593	0.001270759	3.13593E-06	1.27076E-05	
t1	T2-	D	16	4	99.46099468	99.59904611	1.466922343	1.481217075	
t1	T2-	D	16	6	0.145128821	0.089952059	0.001451289	0.000899521	
t1	T2-	D	16	8	0.088325713	0.047694361	0.000883257	0.000476944	
t1	T2-	D	16	10	0.069703448	0.075001236	0.000697035	0.000750012	
t1	T2-	D	16	12	0.037556634	0.028913162	0.000375566	0.000289132	
t1	T2-	D	16	14	0.049832764	0.041022093	0.000498328	0.000410221	
t1	T2-	D	16	16	0.006138065	0.007413631	6.13806E-05	7.41363E-05	
t1	T2-	D	16	18	0.034331549	0.033855582	0.000343315	0.000338556	
t1	T2-	D	16	20	0.050040834	0.033855582	0.000500408	0.000338556	
t1	T2-	D	16	22	0.01810209	0.008278555	0.000181021	8.27855E-05	
t1	T2-	D	16	24	0.003641225	0.00234765	3.64122E-05	2.34765E-05	
t1	T2-	D	16	26	0.003017015	0.002718331	3.01701E-05	2.71833E-05	
t1	T2-	D	16	28	0.004057365	0.003089013	4.05736E-05	3.08901E-05	
