top	blue	red	background
0	163630	0	7798994
0.5	10576	0	7952048
1	1138	0	7961486
1.5	321	0	962303
2	230	8	7962386
2.5	118	44	7962462
3	0	1887	7960737
3.5	145	45016	7917463
4	1	3453	7959170
4.5	0	16	7962608
5	0	16	7962608
5.5	0	0	7962624
6	0	16	7962608
7	0	16	7962608
8	0	16	7962608
9	0	16	7962608
