"top"  "blue" "red"  "background"
0	126708	1		7835915
0.5	58481	0		7904143
1	6970	0		7955654
1.5	2674	9		7959941
2	164		0		7962460
2.5	2		12		7962610
3	20		17696	7944908
3.5	30		31688	7930906
4	7		2244	7960373
4.5	9		27		7962588
5	0		81		7962543
5.5	5		14		7962605
6	0	0	7962624
7	0	0	7962624
8	0	0	7962624
9	0	0	7962624
